Composition,Density,EquiTibrium conditions,Single/Muplitple_Phase,PhaseType,Reference,Tension0/Compression1,TestTempC,YieldStr(MPa),YieldStr(MPa)/density,Ductility (%),Hardness (HV),HIP,Anneal,CR,SPS,SPD,Grain Size (um),Strain Rate (s-1),Arc Melting,Melt Cooling Rate (degC/min),HIP Temp (degC),HIP Pressure (MPa),HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min),Final CR DeformPercentage,SPS Temp (degC),SPS Pressure (MPa),SPS Hold Time (min),composition,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Yang omega,Yang delta,Yang Ent,Yang Hmix,Yang Tm,Yang Hmax,Yang Tmax,Yang Phi,Yang delXi,Yang HPSigma,Yang HPSigma_min,Yang HPSigma_min05,Yang HPK,Yang VEC,Yang sigma_SS_Liaw,dr H,dr He,dr Li,dr Be,dr B,dr C,dr N,dr O,dr F,dr Ne,dr Na,dr Mg,dr Al,dr Si,dr P,dr S,dr Cl,dr Ar,dr K,dr Ca,dr Sc,dr Ti,dr V,dr Cr,dr Mn,dr Fe,dr Co,dr Ni,dr Cu,dr Zn,dr Ga,dr Ge,dr As,dr Se,dr Br,dr Kr,dr Rb,dr Sr,dr Y,dr Zr,dr Nb,dr Mo,dr Tc,dr Ru,dr Rh,dr Pd,dr Ag,dr Cd,dr In,dr Sn,dr Sb,dr Te,dr I,dr Xe,dr Cs,dr Ba,dr La,dr Ce,dr Pr,dr Nd,dr Pm,dr Sm,dr Eu,dr Gd,dr Tb,dr Dy,dr Ho,dr Er,dr Tm,dr Yb,dr Lu,dr Hf,dr Ta,dr W,dr Re,dr Os,dr Ir,dr Pt,dr Au,dr Hg,dr Tl,dr Pb,dr Bi,dr Po,dr At,dr Rn,dr Fr,dr Ra,dr Ac,dr Th,dr Pa,dr U,dr Np,dr Pu,dr Am,dr Cm,dr Bk,dr Cf,dr Es,dr Fm,dr Md,dr No,dr Lr,dG H,dG He,dG Li,dG Be,dG B,dG C,dG N,dG O,dG F,dG Ne,dG Na,dG Mg,dG Al,dG Si,dG P,dG S,dG Cl,dG Ar,dG K,dG Ca,dG Sc,dG Ti,dG V,dG Cr,dG Mn,dG Fe,dG Co,dG Ni,dG Cu,dG Zn,dG Ga,dG Ge,dG As,dG Se,dG Br,dG Kr,dG Rb,dG Sr,dG Y,dG Zr,dG Nb,dG Mo,dG Tc,dG Ru,dG Rh,dG Pd,dG Ag,dG Cd,dG In,dG Sn,dG Sb,dG Te,dG I,dG Xe,dG Cs,dG Ba,dG La,dG Ce,dG Pr,dG Nd,dG Pm,dG Sm,dG Eu,dG Gd,dG Tb,dG Dy,dG Ho,dG Er,dG Tm,dG Yb,dG Lu,dG Hf,dG Ta,dG W,dG Re,dG Os,dG Ir,dG Pt,dG Au,dG Hg,dG Tl,dG Pb,dG Bi,dG Po,dG At,dG Rn,dG Fr,dG Ra,dG Ac,dG Th,dG Pa,dG U,dG Np,dG Pu,dG Am,dG Cm,dG Bk,dG Cf,dG Es,dG Fm,dG Md,dG No,dG Lr
Hf0.75NbTa0.5Ti1.5Zr1.25,8.4,CR+A,s,BCC,26,1,-268.8,2390,284.2,1.49,,0,1,1,0,0,,0.0003,1,90,25,,0,997,1,10,40,,,,Hf0.75 Nb1 Ta0.5 Ti1.5 Zr1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89086011,0.048832351,0.012840803,2.36,2369.2,0.2,3290,2.899056808,0.08125721,182,80,136.6666667,323.5,7.8,1610.091223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032050742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070876282,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056744875,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062944056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000390625,-0.121011609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261758803,-0.338470594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hf0.75NbTa0.5Ti1.5Zr1.25,8.4,CR,s,BCC,26,1,-268.8,2250,267.5,0.36,,0,0,1,0,0,,0.0003,1,90,25,,0,25,0,10,40,,,,Hf0.75 Nb1 Ta0.5 Ti1.5 Zr1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89086011,0.048832351,0.012840803,2.36,2369.2,0.2,3290,2.899056808,0.08125721,182,80,136.6666667,323.5,7.8,1610.091223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032050742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070876282,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056744875,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062944056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000390625,-0.121011609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261758803,-0.338470594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hf0.75NbTa0.5Ti1.5Zr1.25,8.4,CR,s,BCC,26,1,-268.8,2210,262.8,0.56,,0,0,1,0,0,,0.0003,1,90,25,,0,25,0,10,40,,,,Hf0.75 Nb1 Ta0.5 Ti1.5 Zr1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89086011,0.048832351,0.012840803,2.36,2369.2,0.2,3290,2.899056808,0.08125721,182,80,136.6666667,323.5,7.8,1610.091223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032050742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070876282,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056744875,0.055385263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062944056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000390625,-0.121011609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261758803,-0.338470594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.25NbTaTiZr,9.9,AC,s,BCC,27,1,25,1112,112.2,,395,0,0,0,0,0,,0.001,1,,25,,0,25,0,10,0,,,,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0.19047619,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0.19047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.34653233,0.052660192,0.014335349,1.560090703,2540.761905,0.145124717,3290,3.622100302,0.127407202,163.3333333,80,131.4705882,395.7142857,9.80952381,1554.511921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023828068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079081043,0.047163308,0.10352195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064954128,0.047163308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050577896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012227947,-0.131809494,0.771805734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247839616,-0.347331505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbTaTiZr,9.9,AC,s,BCC,27,1,25,1317,132.8,,480,0,0,0,0,0,,0.001,1,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.181818182,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.15414293,0.054930665,0.014697169,0.595041322,2556.909091,0.132231405,3290,3.847688001,0.152930427,168.1818182,80,133.8888889,406.3636364,9.636363636,1537.701204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019118281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083778833,0.042453539,0.098816407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069654729,0.042453539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014819405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047691941,-0.166575646,0.736723655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211496507,-0.380410151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.75NbTaTiZr,9.9,AC,s,BCC,27,1,25,1373,138.3,,492,0,0,0,0,0,,0.001,1,,25,,0,25,0,10,0,,,,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0.173913043,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173913043,0.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.4335411,0.056697552,0.01485482,-0.211720227,2571.652174,0.120982987,3290,4.001023421,0.169521013,172.6086957,80,136.0526316,416.0869565,9.47826087,1561.212433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014818041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08806812,0.038153315,0.094520042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073946582,0.038153315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017829653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08007211,-0.198318655,0.704692192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178313668,-0.410612394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMoNbTaTiZr,9.9,AC,s,BCC,27,1,25,1512,152.1,10.64,505,0,0,0,0,0,,0.001,1,,25,,0,25,0,10,0,,,,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.32422458,0.058079821,0.014896688,-0.888888889,2585.166667,0.111111111,3290,4.107963492,0.180951264,176.6666667,80,138,425,9.333333333,1602.364763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010876155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091999967,0.034211443,0.090581707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077880781,0.034211443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047757955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109753932,-0.227416413,0.675330018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147896066,-0.438297783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfNbTaTiZr,9.9,AC,s,BCC,27,1,25,1015,102.6,,335,0,0,0,0,0,,0.001,1,,25,,0,25,0,10,0,,,,Hf1 Nb1 Ta1 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41173785,0.049710272,0.013380867,2.72,2523,0.16,3290,3.219960136,0.081330099,158,80,128.75,384,10,1664.585912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029008833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073913473,0.052344054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059783468,0.052344054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089912237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026782447,-0.093566726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287817036,-0.310944994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbSi0.3TiV0.5,8.5,AC,M,BCC+M5Si3,28,1,25,1617,191,12.87,499.7,0,0,0,0,0,,0.001,0,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061773552,0.085806046,0.014165478,-16.36560303,2382,0.216333153,2896,5.853092896,0.158256706,152.5290698,50,108.0098684,343.0232558,7.837209302,2151.427017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286987152,0,0,0,0,0,0,0,-0.029304833,0.083828116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005996892,0.050342718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117879837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.481009238,0,0,0,0,0,0,0,-0.032302374,-0.24278824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213128006,0.693388608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164432968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbSi0.3TiV0.5,8.5,AC,M,BCC+M5Si3,28,1,1200,166,19.6,,,0,0,0,0,0,,0.001,0,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061773552,0.085806046,0.014165478,-16.36560303,2382,0.216333153,2896,5.853092896,0.158256706,152.5290698,50,108.0098684,343.0232558,7.837209302,2151.427017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286987152,0,0,0,0,0,0,0,-0.029304833,0.083828116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005996892,0.050342718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117879837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.481009238,0,0,0,0,0,0,0,-0.032302374,-0.24278824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213128006,0.693388608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164432968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbSi0.3TiV0.5,8.5,AC,M,BCC+M5Si3,28,1,1000,398,47,,,0,0,0,0,0,,0.001,0,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061773552,0.085806046,0.014165478,-16.36560303,2382,0.216333153,2896,5.853092896,0.158256706,152.5290698,50,108.0098684,343.0232558,7.837209302,2151.427017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286987152,0,0,0,0,0,0,0,-0.029304833,0.083828116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005996892,0.050342718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117879837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.481009238,0,0,0,0,0,0,0,-0.032302374,-0.24278824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213128006,0.693388608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164432968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbSi0.5TiV0.5,8.2,AC,M,BCC+M5Si3,28,1,25,1787,218.7,5.5,582.3,0,0,0,0,0,,0.001,0,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387503651,0.097300242,0.014425841,-24.44444444,2351.111111,0.197530864,2896,6.832182231,0.157954076,149.5833333,50,106.015625,341.1111111,7.666666667,2807.380152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274232167,0,0,0,0,0,0,0,-0.042064896,0.071011513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018773842,0.037536158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130551181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45963105,0,0,0,0,0,0,0,-0.010490011,-0.220958706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191277647,0.712345809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185889631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HfMo0.5NbSi0.5TiV0.5,8.2,AC,M,BCC+M5Si3,28,1,1200,188,23,,,0,0,0,0,0,,0.001,0,,25,,0,25,0,10,0,,,,Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387503651,0.097300242,0.014425841,-24.44444444,2351.111111,0.197530864,2896,6.832182231,0.157954076,149.5833333,50,106.015625,341.1111111,7.666666667,2807.380152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274232167,0,0,0,0,0,0,0,-0.042064896,0.071011513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018773842,0.037536158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130551181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45963105,0,0,0,0,0,0,0,-0.010490011,-0.220958706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191277647,0.712345809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185889631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
